13:32:22.005 ERROR    error:RequestError: Error [ERR_TLS_CERT_ALTNAME_INVALID]: Hostname/IP does not match certificate's altnames: Host: 24h.vn. is not in the cert's altnames: DNS:*.24h.com.vn, DNS:24h.com.vn, DNS:ads.cms2017.24h.com.vn, DNS:article.cms2017.24h.com.vn, DNS:cate.cms2017.24h.com.vn, DNS:log.cms2017.24h.com.vn, DNS:pr.cms2017.24h.com.vn, DNS:seo.cms2017.24h.com.vn, DNS:statistic.cms2017.24h.com.vn, DNS:topic.cms2017.24h.com.vn, DNS:uploadimg.cms2017.24h.com.vn, DNS:uploadvideo.cms2017.24h.com.vn, DNS:user.cms2017.24h.com.vn, DNS:beta.ipad.24h.com.vn, DNS:beta.m.24h.com.vn, DNS:cron.m.24h.com.vn, DNS:dfp.ipad.24h.com.vn, DNS:dfp.m.24h.com.vn, DNS:kpt.ipad.24h.com.vn, DNS:kpt.m.24h.com.vn, DNS:mst.livescore.24h.com.vn, DNS:test.ipad.24h.com.vn, DNS:test.livescore.24h.com.vn, DNS:test.m.24h.com.vn, DNS:test.mst.24h.com.vn, DNS:us.ipad.24h.com.vn, DNS:us.m.24h.com.vn, DNS:us1.ipad.24h.com.vn, DNS:us1.m.24h.com.vn, DNS:us2.ipad.24h.com.vn, DNS:us2.m.24h.com.vn, DNS:www.ipad.24h.com.vn, DNS:www.m.24h.com.vn, DNS:mst.ketquaxoso.24h.com.vn, DNS:www.livescore.24h.com.vn, DNS:www1.livescore.24h.com.vn, DNS:www2.livescore.24h.com.vn, DNS:m.ketquaxoso.24h.com.vn, DNS:www.ketquaxoso.24h.com.vn 
13:33:00.069 INFO  Extracting content from https://24h.vn 
13:33:03.942 INFO  saved ./public/snapshots/24h.vn.png 
13:33:14.918 INFO  Extracting content from http://vnexpress.net 
13:33:19.970 INFO  saved ./public/snapshots/vnexpress.net.png 
13:36:07.795 INFO  Extracting content from https://24h.vn 
13:36:11.275 INFO  saved ./public/snapshots/24h.vn.png 
13:36:23.483 INFO  Extracting content from https://24h.vn 
13:36:27.428 INFO  saved ./public/snapshots/24h.vn.png 
13:36:51.523 INFO  Extracting content from https://vnexpress.net 
13:36:56.632 INFO  saved ./public/snapshots/vnexpress.net.png 
13:37:29.421 INFO  Extracting content from https://vnexpress.net 
13:37:34.560 INFO  saved ./public/snapshots/vnexpress.net.png 
13:38:21.100 INFO  Extracting content from https://vnexpress.net 
13:38:26.237 INFO  saved ./public/snapshots/vnexpress.net.png 
13:38:48.764 INFO  Extracting content from https://24h.vn 
13:38:58.264 INFO  saved ./public/snapshots/24h.vn.png 
